food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,allergens,price
Pollo Asada ,209,80,8.8,23,4.9,,2.4,12,0.3,1,0,,4.2,3,142.1,,25.8,,1281.6,56,,$4.00
Pork Carnitas ,201,97,10.7,28,2.7,,4,20,1.3,4,0,,,,73.6,,23.4,,675.5,29,"Contains Soy, Contains Soy, ",$4.00
Sauteed Mixed Vegetables ,33,6,0.6,2,6.7,,0.1,0,1.3,4,0,,2.5,2,0,,0.9,,413,18,"Vegan, Sustainability, Vegan, Sustainability, ",$2.50
Shrimp Asada ,231,107,11.8,31,1.6,,0.7,3,0.4,1,0,,0.1,0,240.1,,30,,543.2,24,"Wellness, Contains Shellfish, Sustainability, Wellness, Contains Shellfish, Sustainability, ",$5.00
Korean Beef Burrito ,777,176,19.5,51,101.7,,6.2,31,10.8,36,0,,18,14,84,,48.6,,2872.1,125,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$9.00
Korean Beef Tacos ,493,100,11.1,29,72.2,,1.7,8,0.7,2,0,,12.7,10,44.5,,25,,1483.5,64,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$6.00
Korean Cauliflower Burrito ,637,132,14.6,39,111,,4.5,22,13.5,45,0,,24.8,19,0,,19,,3157.9,137,"Vegetarian, Contains Soy, Contains Wheat, Contains Gluten, Vegetarian, Contains Soy, Contains Wheat, ",$7.50
Korean Cauliflower Tacos ,429,75,8.3,22,79.5,,0.8,4,1.3,4,0,,15.9,12,2.5,,9.2,,1286.9,56,"Vegetarian, Contains Soy, Contains Wheat, Contains Gluten, Vegetarian, Contains Soy, Contains Wheat, ",$5.00
Korean Chicken Burrito ,796,214,23.7,62,102.4,,7,35,10.8,36,0,,18.5,14,153.2,,43.6,,2995,130,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$8.50
Korean Chicken Tacos ,503,119,13.2,35,72.6,,2.1,10,0.7,2,0,,12.9,10,79.1,,22.5,,1549.4,67,"Contains Soy, Contains Wheat, Contains Fish, Contains Gluten, Contains Soy, Contains Wheat, Contains Fish, ",$6.00
Aztec Pinto Beans ,92,14,1.6,4,15.3,,0.2,1,4.4,15,0,,1.6,1,0,,4.4,,503.9,22,"Vegan, Sustainability, Vegan, Sustainability, ",$1.50
Cotija Cheese ,91,64,7.1,19,1,,4.6,23,0,0,0,,0,0,25.3,,7.1,,435.4,19,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Jalapenos ,4,0,0.1,0,0.9,,0,0,0.4,1,0,,0.5,0,0,,0.1,,0.4,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Korean Gochujang Sauce ,67,17,1.9,5,10.6,,0.3,1,0,0,0,,7.3,6,0,,0.8,,662.2,29,"Vegetarian, Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Sustainability, Vegetarian, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, ",
Napa Cabbage ,4,0,0.1,0,0.7,,0,0,0.5,2,0,,,,0,,0.4,,2.6,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Pineapple Salsa ,14,0,0,0,3.6,,0,0,0.4,1,0,,2.7,2,0,,0.2,,0.4,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Quick Kimchi Slaw ,38,18,2,5,4.6,,0.3,2,0.5,2,0,,3.7,3,2.5,,0.2,,113.5,5,"Vegetarian, Sustainability, Vegetarian, Sustainability, ",
Steamed Rice ,111,2,0.2,1,24,,0.1,0,0.3,1,0,,0,0,0,,2.3,,1.8,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$1.50
Korean BBQ Chicken Thigh ,200,85,9.4,25,5.2,,2.2,11,0.1,0,0,,4.5,3,114.9,,20.5,,980.8,43,"Contains Soy, Contains Soy, ",$4.00
Korean Beef ,185,56,6.2,16,4.6,,1.7,8,0.1,0,0,,4.1,3,63,,24.3,,888.7,39,"Contains Soy, Contains Wheat, Contains Gluten, Contains Soy, Contains Wheat, ",$4.00
Korean Cauliflower ,92,19,2.1,6,15.4,,0.3,1,1.1,4,0,,8.1,6,0,,2,,681.5,30,"Vegetarian, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Soy, Contains Wheat, Sustainability, ",$3.00
BYO Poke Bowl ,863,363,40.3,106,90.3,,5.8,29,7.3,24,0,,21.3,16,77.2,,35.1,,2433.5,106,"Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, ",$11.25
Bahng Bowl ,692,362,40.1,106,63.2,,10,50,5.2,17,0.3,,6.7,5,64.1,,19.3,,1160.8,50,"Contains Dairy, Contains Soy, Contains Fish, Contains Eggs, Contains Sesame, Sustainability, Contains Dairy, Contains Soy, Contains Fish, Contains Eggs, Contains Gluten, Sustainability, ",$9.75
Lava Poke Bowl ,331,84,9.3,25,33.3,,1.4,7,2.3,8,0,,23.3,18,41,,28.7,,1832.1,80,"Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Contains Sesame, Sustainability, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Sustainability, ",$9.75
Lilo Poke Bowl ,281,110,12.2,32,28.8,,1.8,9,7.9,26,0,,13.2,10,0,,15.7,,1512.2,66,"Vegetarian, Contains Soy, Contains Sesame, Sustainability, Vegetarian, Contains Soy, Contains Gluten, Sustainability, ",$8.75
Makai Poke Bowl ,362,164,18.2,48,21.8,,2.4,12,3,10,0,,11.5,9,43.3,,26.4,,1909.7,83,"Contains Soy, Contains Fish, Contains Shellfish, Contains Sesame, Sustainability, Contains Soy, Contains Fish, Contains Shellfish, Contains Gluten, Sustainability, ",$9.75
Ohana Poke Bowl ,267,94,10.4,27,22.1,,2.1,11,2.9,10,0,,10.4,8,39.4,,21.5,,1740,76,"Contains Soy, Contains Wheat, Contains Fish, Contains Gluten, Contains Sesame, Sustainability, Contains Soy, Contains Wheat, Contains Fish, Contains Gluten, Sustainability, ",$9.75
Brown Rice ,189,14,1.5,4,39.1,,0.3,2,3.1,10,0,,0.6,0,0,,4.4,,8.5,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
"Mixed Greens
 Base ",12,0,0,0,2.3,,0,0,0.7,2,0,,0.7,1,0,,0.5,,15.5,1,"Vegan, Sustainability, Vegan, Sustainability, ",
Steamed Rice ,221,4,0.5,1,47.9,,0.1,1,0.7,2,0,,0.1,0,0,,4.6,,3.6,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Makai Ahi Tuna ,46,4,0.4,1,0,,0.1,1,0,0,,,0,0,19.1,,9.9,,15.7,1,"Wellness, Contains Fish, Sustainability, Wellness, Contains Fish, Sustainability, ",$3.00
Salmon Poke ,61,35,3.9,10,0,,0.9,4,0,0,,,0,0,16.1,,6,,17.3,1,"Contains Fish, Sustainability, Contains Fish, Sustainability, ",$3.00
Shrimp ,40,5,0.6,2,0.5,,0.1,0,0,0,0,,0,0,71.4,,7.7,,198.5,9,"Wellness, Contains Shellfish, Sustainability, Wellness, Contains Shellfish, Sustainability, ",$3.00
Spicy Tuna ,44,17,1.9,5,0.1,,0.4,2,0,0,0,,0,0,10.1,,6.2,,57.3,2,"Contains Fish, Contains Sesame, Sustainability, Contains Fish, Contains Gluten, Sustainability, ",$2.50
Tofu ,33,16,1.8,5,0.8,,0.4,2,0.6,2,0,,0.2,0,0,,3.5,,1.7,0,"Vegan, Wellness, Contains Soy, Sustainability, Vegan, Wellness, Contains Soy, Sustainability, ",$2.50
Avocado ,47,39,4.4,11,2.4,,0.6,3,1.9,6,0,,0.1,0,0,,0.6,,2.3,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$1.50
Crispy Onions ,182,128,14.2,37,12.2,,0,0,0,0,0,,0,0,0,,0,,60.8,3,"Vegan, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Wheat, Sustainability, ",
Edamame ,33,11,1.2,3,2.3,,0,0,1.3,4,0,,1,1,0,,3.3,,1.7,0,"Vegan, Wellness, Contains Soy, Sustainability, Vegan, Wellness, Contains Soy, Sustainability, ",
Jalapenos ,4,0,0.1,0,0.9,,0,0,0.4,1,0,,0.5,0,0,,0.1,,0.4,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Krab Mix ,51,27,2.9,8,5.5,,0.4,2,0,0,0,,2.3,2,4.4,,1.8,,195.6,9,"Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Sustainability, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Sustainability, ",$1.50
Mango ,17,1,0.1,0,4.2,,0,0,0.4,1,0,,3.8,3,0,,0.2,,0.3,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Pickled Ginger ,19,0,0,0,3.8,,0,0,0.2,1,0,,1.9,1,0,,0,,94.5,4,"Vegan, Sustainability, Vegan, Sustainability, ",
Pickled Red Onion ,13,0,0,0,3.1,,0,0,0.5,2,0,,1.5,1,0,,0.3,,23.6,1,"Vegetarian, Wellness, Sustainability, Vegetarian, Wellness, Sustainability, ",
Radish ,,,,,,,,,,,,,,,,,,,,,"Vegan, Sustainability, Vegan, Sustainability, ",
Seaweed Salad ,29,10,1.1,3,4.8,,0.1,1,0,0,0,,2.7,2,0,,0.2,,191.4,8,"Vegan, Contains Sesame, Sustainability, Vegan, Contains Gluten, Sustainability, ",$1.25
Shredded Carrots ,12,1,0.1,0,2.7,,0,0,0.8,3,0,,1.3,1,0,,0.3,,19.6,1,"Vegan, Sustainability, Vegan, Sustainability, ",
Shredded Red Cabbage ,9,0,0,0,2.1,,0,0,0.6,2,0,,1.1,1,0,,0.4,,7.7,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Sliced Cucumbers ,4,0,0,0,1.1,,0,0,0.1,0,0,,0.5,0,0,,0.2,,0.6,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Sliced Green Onion ,9,0,0.1,0,2.1,,0,0,0.7,2,0,,0.7,1,0,,0.5,,4.5,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Spicy Krab Mixture ,51,27,2.9,8,5.5,,0.4,2,0,0,0,,2.3,2,4.4,,1.8,,234.4,10,"Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, Contains Gluten, Contains Soy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Eggs, ",$1.50
Whipped Cream Cheese ,48,44,4.9,13,0.6,,2.7,14,0,0,0.1,,0.5,0,15.6,,0.8,,45.5,2,,
Bang Bang Sauce ,149,142,15.8,42,1.2,,2.5,12,0,0,0,,1,1,8.8,,0.2,,314.8,14,"Vegetarian, Contains Soy, Contains Eggs, Vegetarian, Contains Soy, Contains Eggs, ",
House Makai Sauce ,50,26,2.9,8,5.1,,0.4,2,0,0,0,,3.4,3,0,,0.2,,782.6,34,"Contains Soy, Contains Shellfish, Contains Sesame, Sustainability, Contains Soy, Contains Shellfish, Contains Gluten, Sustainability, ",
Lava Sauce ,45,2,0.2,0,9.3,,0,0,0,0,0,,8.4,6,0,,1.5,,660.2,29,"Vegetarian, Contains Soy, Sustainability, Vegetarian, Contains Soy, Sustainability, ",
Ponzu Sauce ,28,0,0,0,6.6,,0,0,0,0,0,,5.6,4,0,,0,,941.3,41,"Vegetarian, Contains Soy, Contains Sesame, Sustainability, Vegetarian, Contains Soy, Contains Gluten, Sustainability, ",
Sriracha ,3,1,0.1,0,0.5,,0,0,0.1,0,,,0.4,0,0,,0.2,,797,35,"Vegetarian, Sustainability, Vegetarian, Sustainability, ",
Chopped Cilantro ,7,1,0.1,0,1,,0,0,0.8,3,0,,0.2,0,0,,0.6,,13,1,"Vegan, Sustainability, Vegan, Sustainability, ",
Nori Strips ,1,0,0,0,0.1,,0,0,0,0,0,,0,0,0,,0,,0,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Sesame Seeds ,11,8,0.9,2,0.3,,,,0.2,1,0,,0,0,,,0.4,,3.8,0,"Vegan, Contains Sesame, Sustainability, Vegan, Contains Gluten, Sustainability, ",
Wonton Strips ,74,37,4.1,11,8.8,,1,5,1.4,5,0,,0.7,1,0,,1.4,,30.4,1,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",
Wonton Strips ,74,37,4.1,11,8.8,,1,5,1.4,5,0,,0.7,1,0,,1.4,,30.4,1,,
Wonton Strips ,74,37,4.1,11,8.8,,1,5,1.4,5,0,,0.7,1,0,,1.4,,30.4,1,,
Wonton Strips ,74,37,4.1,11,8.8,,1,5,1.4,5,0,,0.7,1,0,,1.4,,30.4,1,,
