Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
Crispy Chicken Sandwich ,749,500,Total Fat 55.4g,146,Tot. Carb. 52.8g,,Sat. Fat 14.7g,74%,Dietary Fiber 0.6g,2,Trans Fat 0.1g,,Sugars 9.4g,7,Cholesterol 80.8mg,,Protein 10g,,Sodium 894.8mg,39,"Milk, Eggs, Wheat, Soybeans, Gluten"
Fish and Chips ,620,475,Total Fat 52.7g,139,Tot. Carb. 43.1g,,Sat. Fat 5.5g,27%,Dietary Fiber 0.5g,2,Trans Fat 0.1g,,Sugars 1.9g,1,Cholesterol 43.1mg,,Protein 17g,,Sodium 1265.6mg,55,"Fish, Wheat, Soybeans, Gluten"
Grilled Fish Sandwich ,306,185,Total Fat 20.5g,54,Tot. Carb. 5.6g,,Sat. Fat 1.4g,7%,Dietary Fiber 1.7g,6,Trans Fat 0g,,Sugars 3.1g,2,Cholesterol 91.9mg,,Protein 24.5g,,Sodium 405mg,18,"Milk, Fish, Wheat, Soybeans, Gluten"
Mediterranean Burger ,546,163,Total Fat 18g,47,Tot. Carb. 57.9g,,Sat. Fat 8.3g,41%,Dietary Fiber 1.2g,4,Trans Fat 0g,,Sugars 12g,9,Cholesterol 140.2mg,,Protein 39.3g,,Sodium 986.6mg,43,"Milk, Eggs, Wheat, Gluten"
Three Cheese Grilled Cheese ,831,422,Total Fat 46.8g,123,Tot. Carb. 49.6g,,Sat. Fat 17.3g,87%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 6.2g,5,Cholesterol 85.8mg,,Protein 28g,,Sodium 1547mg,67,"Milk, Eggs, Wheat, Soybeans, Gluten"
Chicken Tenders ,640,403,Total Fat 44.7g,118,Tot. Carb. 32.2g,,Sat. Fat 6.2g,31%,Dietary Fiber 2g,7,Trans Fat 2.1g,,Sugars 2g,2,Cholesterol 55.4mg,,Protein 28.2g,,Sodium 1057.2mg,46,"Wheat, Gluten"
Curly Fries ,431,265,Total Fat 29.4g,77,Tot. Carb. 36.5g,,Sat. Fat 3.6g,18%,Dietary Fiber 4.1g,14,Trans Fat 0.1g,,Sugars 2g,2,Cholesterol 0mg,,Protein 4.1g,,Sodium 60.8mg,3,"Wheat, Soybeans, Gluten"
French Fries ,322,150,Total Fat 16.7g,44,Tot. Carb. 36.9g,,Sat. Fat 2.5g,13%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 1.8g,1,Cholesterol 0mg,,Protein 3.7g,,Sodium 663.4mg,29,Soybeans
Serrano Pesto Grilled Vegetables ,98,74,Total Fat 8.2g,21,Tot. Carb. 6.3g,,Sat. Fat 0.8g,4%,Dietary Fiber 2.4g,8,Trans Fat 0g,,Sugars 2.1g,2,Cholesterol 0.8mg,,Protein 2.5g,,Sodium 529.8mg,23,Milk
AGUA FRESCA HIBISCUS ,158,0,Total Fat 0g,0,Tot. Carb. 38.2g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 38.2g,29,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
AGUA FRESCA LEMONADE ,158,0,Total Fat 0g,0,Tot. Carb. 36.8g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 36.8g,28,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
AGUA FRESCA MANGO ,118,0,Total Fat 0g,0,Tot. Carb. 28.9g,,Sat. Fat 0g,0%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 27.6g,21,Cholesterol 0mg,,Protein 0g,,Sodium 541.7mg,24,
Barley Tabbouleh Salad ,404,227,Total Fat 25.1g,66,Tot. Carb. 44.6g,,Sat. Fat 2g,10%,Dietary Fiber 7.3g,24,Trans Fat 0g,,Sugars 2.1g,2,Cholesterol 0mg,,Protein 4.4g,,Sodium 40.6mg,2,Gluten
Chicken Pecan Salad ,589,472,Total Fat 52.3g,138,Tot. Carb. 17.3g,,Sat. Fat 5.6g,28%,Dietary Fiber 4.7g,16,Trans Fat 0g,,Sugars 7.9g,6,Cholesterol 42.2mg,,Protein 16.8g,,Sodium 734.3mg,32,Tree Nuts
Garden Quinoa Salad ,161,97,Total Fat 10.7g,28,Tot. Carb. 102.7g,,Sat. Fat 1.6g,8%,Dietary Fiber 2g,7,Trans Fat 0g,,Sugars 2.5g,2,Cholesterol 0mg,,Protein 1.8g,,Sodium 270mg,12,Soybeans
Bleu Cheese ,101,73,Total Fat 8.1g,21,Tot. Carb. 1g,,Sat. Fat 5.1g,25%,Dietary Fiber 0g,0,Trans Fat ,,Sugars 0g,0,Cholesterol 25.3mg,,Protein 6.1g,,Sodium 384.8mg,17,Milk
Cheddar Jack Cheese ,56,41,Total Fat 4.6g,12,Tot. Carb. 0.5g,,Sat. Fat 3g,15%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 12.7mg,,Protein 3.5g,,Sodium 91.1mg,4,Milk
Cherry Tomato ,6,1,Total Fat 0.1g,0,Tot. Carb. 1.2g,,Sat. Fat 0g,0%,Dietary Fiber 0.4g,1,Trans Fat 0g,,Sugars 0.8g,1,Cholesterol 0mg,,Protein 0.3g,,Sodium 1.6mg,0,
Cooked Barley ,42,1,Total Fat 0.2g,0,Tot. Carb. 9.6g,,Sat. Fat 0g,0%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 0.1g,0,Cholesterol 0mg,,Protein 0.8g,,Sodium 114.4mg,5,Gluten
Cooked Red Quinoa ,33,5,Total Fat 0.5g,1,Tot. Carb. 6g,,Sat. Fat 0.1g,0%,Dietary Fiber 0.6g,2,Trans Fat 0g,,Sugars 0g,0,Cholesterol 0mg,,Protein 1.1g,,Sodium 43.9mg,2,
Edamame ,33,11,Total Fat 1.2g,3,Tot. Carb. 2.3g,,Sat. Fat 0g,0%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 1g,1,Cholesterol 0mg,,Protein 3.3g,,Sodium 1.7mg,0,Soybeans
Feta Cheese ,75,54,Total Fat 6g,16,Tot. Carb. 1.2g,,Sat. Fat 4.2g,21%,Dietary Fiber 0g,0,Trans Fat ,,Sugars 1.2g,1,Cholesterol 25.2mg,,Protein 4g,,Sodium 316.4mg,14,Milk
Garbanzo Beans ,34,3,Total Fat 0.3g,1,Tot. Carb. 6.4g,,Sat. Fat 0g,0%,Dietary Fiber 1.2g,4,Trans Fat ,,Sugars ,,Cholesterol 0mg,,Protein 1.4g,,Sodium 84.8mg,4,
Kale ,14,2,Total Fat 0.3g,1,Tot. Carb. 2.5g,,Sat. Fat 0g,0%,Dietary Fiber 0.6g,2,Trans Fat 0g,,Sugars ,,Cholesterol 0mg,,Protein 1.2g,,Sodium 10.8mg,0,
Mandarin Oranges ,11,0,Total Fat 0g,0,Tot. Carb. 2.8g,,Sat. Fat 0g,0%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 2.7g,2,Cholesterol 0mg,,Protein 0.1g,,Sodium 1.1mg,0,
Red Onions ,10,0,Total Fat 0g,0,Tot. Carb. 2.4g,,Sat. Fat 0g,0%,Dietary Fiber 0.4g,1,Trans Fat 0g,,Sugars 1.1g,1,Cholesterol 0mg,,Protein 0.3g,,Sodium 1mg,0,
Roasted Broccoli ,15,7,Total Fat 0.8g,2,Tot. Carb. 1.6g,,Sat. Fat 0.1g,0%,Dietary Fiber 0.9g,3,Trans Fat 0g,,Sugars 0g,0,Cholesterol 0mg,,Protein 0.9g,,Sodium 78.6mg,3,
Roasted Moroccan Cauliflower ,16,4,Total Fat 0.5g,1,Tot. Carb. 2.8g,,Sat. Fat 0.1g,1%,Dietary Fiber 1.5g,5,Trans Fat 0g,,Sugars 0.7g,1,Cholesterol 0mg,,Protein 0.8g,,Sodium 5.8mg,0,
Romaine Lettuce ,5,0,Total Fat 0g,0,Tot. Carb. 1g,,Sat. Fat 0g,0%,Dietary Fiber 0.3g,1,Trans Fat 0g,,Sugars 0.7g,1,Cholesterol 0mg,,Protein 0.3g,,Sodium 1.7mg,0,
Shredded Carrots ,12,1,Total Fat 0.1g,0,Tot. Carb. 2.7g,,Sat. Fat 0g,0%,Dietary Fiber 0.8g,3,Trans Fat 0g,,Sugars 1.3g,1,Cholesterol 0mg,,Protein 0.3g,,Sodium 19.6mg,1,
Sliced Cucumbers ,4,0,Total Fat 0g,0,Tot. Carb. 1.1g,,Sat. Fat 0g,0%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 0.5g,0,Cholesterol 0mg,,Protein 0.2g,,Sodium 0.6mg,0,
Sliced Mushrooms ,6,1,Total Fat 0.1g,0,Tot. Carb. 0.9g,,Sat. Fat 0g,0%,Dietary Fiber 0.3g,1,Trans Fat 0g,,Sugars 0.6g,0,Cholesterol 0mg,,Protein 0.9g,,Sodium 1.4mg,0,
Sliced Red Bell Pepper ,9,1,Total Fat 0.1g,0,Tot. Carb. 1.7g,,Sat. Fat 0g,0%,Dietary Fiber 0.6g,2,Trans Fat 0g,,Sugars 1.1g,1,Cholesterol 0mg,,Protein 0.3g,,Sodium 1.1mg,0,
Spinach ,7,1,Total Fat 0.1g,0,Tot. Carb. 1g,,Sat. Fat 0g,0%,Dietary Fiber 0.6g,2,Trans Fat 0g,,Sugars 0.1g,0,Cholesterol 0mg,,Protein 0.8g,,Sodium 22.4mg,1,
Spring Mix ,7,0,Total Fat 0g,0,Tot. Carb. 1g,,Sat. Fat 0g,0%,Dietary Fiber 0.3g,1,Trans Fat 0g,,Sugars 0g,0,Cholesterol 0mg,,Protein 0g,,Sodium 16.7mg,1,
Cage Free Hard Boiled Egg ,58,37,Total Fat 4.1g,11,Tot. Carb. 1g,,Sat. Fat 1g,5%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 184.2mg,,Protein 6.1g,,Sodium 53.2mg,2,Eggs
Roasted Chicken ,110,58,Total Fat 6.5g,17,Tot. Carb. 0.5g,,Sat. Fat 1.8g,9%,Dietary Fiber 0.2g,1,Trans Fat 0g,,Sugars 0g,0,Cholesterol 36.5mg,,Protein 11.6g,,Sodium 205.9mg,9,
Tofu Cubes ,100,48,Total Fat 5.4g,14,Tot. Carb. 2.4g,,Sat. Fat 1.1g,5%,Dietary Fiber 1.7g,6,Trans Fat 0g,,Sugars 0.5g,0,Cholesterol 0mg,,Protein 10.5g,,Sodium 5.1mg,0,Soybeans
Tuna Salad ,138,51,Total Fat 5.7g,15,Tot. Carb. 1.7g,,Sat. Fat 0.6g,3%,Dietary Fiber 0.2g,1,Trans Fat 0g,,Sugars 1.1g,1,Cholesterol 33.2mg,,Protein 20.3g,,Sodium 298.1mg,13,"Eggs, Fish, Soybeans"
Dried Cranberries ,92,0,Total Fat 0g,0,Tot. Carb. 23.4g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 18.4g,14,Cholesterol 0mg,,Protein 0g,,Sodium 0mg,0,
Homestyle Croutons ,132,47,Total Fat 5.2g,14,Tot. Carb. 18g,,Sat. Fat 1.5g,7%,Dietary Fiber 1.4g,5,Trans Fat ,,Sugars 1.3g,1,Cholesterol 2mg,,Protein 3.1g,,Sodium 351mg,15,"Milk, Wheat, Gluten"
Pumpkin Seeds- Pepitas ,81,63,Total Fat 7g,18,Tot. Carb. 2.1g,,Sat. Fat 1.2g,6%,Dietary Fiber 0.9g,3,Trans Fat 0g,,Sugars 0.2g,0,Cholesterol 0mg,,Protein 4.2g,,Sodium 36.3mg,2,
Sunflower Seeds ,88,73,Total Fat 8.1g,21,Tot. Carb. 2.9g,,Sat. Fat 0.8g,4%,Dietary Fiber 1.6g,5,Trans Fat 0g,,Sugars ,,Cholesterol 0mg,,Protein 2.4g,,Sodium 0.4mg,0,
Balsamic Vinaigrette ,59,36,Total Fat 4g,10,Tot. Carb. 5.9g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 3g,2,Cholesterol 0mg,,Protein 0g,,Sodium 103.7mg,5,Soybeans
Blue Cheese Dressing ,135,131,Total Fat 14.5g,38,Tot. Carb. 1.3g,,Sat. Fat 2.3g,12%,Dietary Fiber 0.1g,0,Trans Fat 0.4g,,Sugars 1g,1,Cholesterol 8.8mg,,Protein 0.4g,,Sodium 295.1mg,13,"Milk, Eggs, Soybeans"
Buttermilk Ranch Dressing ,113,105,Total Fat 11.7g,31,Tot. Carb. 0.7g,,Sat. Fat 1.7g,9%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0.7g,1,Cholesterol 11.5mg,,Protein 0.6g,,Sodium 175.6mg,8,"Milk, Eggs, Soybeans"
Caesar Dressing ,162,159,Total Fat 17.6g,46,Tot. Carb. 0.7g,,Sat. Fat 2.6g,13%,Dietary Fiber 0g,0,Trans Fat 0.4g,,Sugars 0.4g,0,Cholesterol 30.3mg,,Protein 0.7g,,Sodium 183.3mg,8,"Milk, Eggs, Fish, Soybeans"
La Scala Vinaigrette ,102,92,Total Fat 10.2g,27,Tot. Carb. 91.4g,,Sat. Fat 1.5g,8%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 0mg,,Protein 0g,,Sodium 193mg,8,Soybeans
Lemon Shallot Vinaigrette ,112,110,Total Fat 12.2g,32,Tot. Carb. 1.5g,,Sat. Fat 0.9g,4%,Dietary Fiber 0.2g,1,Trans Fat 0g,,Sugars 0.4g,0,Cholesterol 0mg,,Protein 0.1g,,Sodium 223.7mg,10,
Vegan Green Goddess Dressing ,110,110,Total Fat 12.2g,32,Tot. Carb. 1.2g,,Sat. Fat 0.9g,5%,Dietary Fiber 0.5g,2,Trans Fat 0g,,Sugars 0.3g,0,Cholesterol 0mg,,Protein 0.3g,,Sodium 16.3mg,1,
64D Rotisserie Chicken Deboned ,190,101,Total Fat 11.2g,30,Tot. Carb. 0.9g,,Sat. Fat 3.1g,16%,Dietary Fiber 0.3g,1,Trans Fat 0g,,Sugars 0.1g,0,Cholesterol 63.2mg,,Protein 20.1g,,Sodium 356.4mg,15,
Blackened Rockfish ,145,44,Total Fat 4.9g,13,Tot. Carb. 4.7g,,Sat. Fat 0.3g,1%,Dietary Fiber 1.5g,5,Trans Fat 0g,,Sugars 1.5g,1,Cholesterol 36.7mg,,Protein 20g,,Sodium 211.2mg,9,Fish
Blackened Shrimp ,104,14,Total Fat 1.6g,4,Tot. Carb. 3g,,Sat. Fat 0g,0%,Dietary Fiber 0.9g,3,Trans Fat 0g,,Sugars 0.2g,0,Cholesterol 153.8mg,,Protein 19.6g,,Sodium 1178mg,51,Crustacean Shellfish
Seared Ahi Tuna ,106,20,Total Fat 2.2g,6,Tot. Carb. 0.1g,,Sat. Fat 0.3g,1%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 0g,0,Cholesterol 38.3mg,,Protein 20.1g,,Sodium 32.9mg,1,Sesame
Seared Herbed Tofu ,191,123,Total Fat 13.6g,36,Tot. Carb. 3.2g,,Sat. Fat 2.4g,12%,Dietary Fiber 2.3g,8,Trans Fat 0g,,Sugars 0.7g,1,Cholesterol 0mg,,Protein 14.1g,,Sodium 11.5mg,0,Soybeans
Chipotle Linguine ,868,211,Total Fat 23.4g,62,Tot. Carb. 117.9g,,Sat. Fat 13g,65%,Dietary Fiber 5.6g,19,Trans Fat 0g,,Sugars 7.7g,6,Cholesterol 228.1mg,,Protein 45.2g,,Sodium 689.8mg,30,"Milk, Crustacean Shellfish, Wheat, Soybeans, Gluten"
RC Bowl Base ,290,24,Total Fat 2.6g,7,Tot. Carb. 56.1g,,Sat. Fat 0.1g,0%,Dietary Fiber 2.6g,9,Trans Fat 0g,,Sugars 2.5g,2,Cholesterol 0mg,,Protein 10.5g,,Sodium 771mg,34,"Wheat, Gluten"
RC Sandwich Base ,609,233,Total Fat 25.9g,68,Tot. Carb. 82.9g,,Sat. Fat 1.9g,10%,Dietary Fiber 6g,20,Trans Fat 0g,,Sugars 5.2g,4,Cholesterol 0mg,,Protein 16.6g,,Sodium 943.2mg,41,"Wheat, Soybeans, Gluten"
RC Taco Trio Base ,985,478,Total Fat 53g,139,Tot. Carb. 93.3g,,Sat. Fat 10g,50%,Dietary Fiber 2.1g,7,Trans Fat 0g,,Sugars 6g,5,Cholesterol 194.1mg,,Protein 38.6g,,Sodium 2396.8mg,104,"Milk, Crustacean Shellfish, Soybeans"
Avocado ,47,39,Total Fat 4.4g,11,Tot. Carb. 2.4g,,Sat. Fat 0.6g,3%,Dietary Fiber 1.9g,6,Trans Fat 0g,,Sugars 0.1g,0,Cholesterol 0mg,,Protein 0.6g,,Sodium 2.3mg,0,
Buttermilk Ranch Dressing ,113,105,Total Fat 11.7g,31,Tot. Carb. 0.7g,,Sat. Fat 1.7g,9%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 0.7g,1,Cholesterol 11.5mg,,Protein 0.6g,,Sodium 175.6mg,8,"Milk, Eggs, Soybeans"
Citrus Shallot Cream Sauce ,35,24,Total Fat 2.7g,7,Tot. Carb. 2.1g,,Sat. Fat 1.8g,9%,Dietary Fiber 0.2g,1,Trans Fat 0g,,Sugars 0.9g,1,Cholesterol 8.9mg,,Protein 0.2g,,Sodium 58.2mg,3,Milk
Honey Chipotle glaze ,62,2,Total Fat 0.3g,1,Tot. Carb. 15g,,Sat. Fat 0g,0%,Dietary Fiber 0.2g,1,Trans Fat 0g,,Sugars 12.9g,10,Cholesterol 0.1mg,,Protein 0.2g,,Sodium 216.9mg,9,"Wheat, Soybeans, Gluten, Sesame"
Lemon Shallot Vinaigrette ,112,110,Total Fat 12.2g,32,Tot. Carb. 1.5g,,Sat. Fat 0.9g,4%,Dietary Fiber 0.2g,1,Trans Fat 0g,,Sugars 0.4g,0,Cholesterol 0mg,,Protein 0.1g,,Sodium 223.7mg,10,
Roasted Red Pepper Sauce ,34,21,Total Fat 2.4g,6,Tot. Carb. 2.3g,,Sat. Fat 1.4g,7%,Dietary Fiber 0.8g,3,Trans Fat 0g,,Sugars 0.8g,1,Cholesterol 8mg,,Protein 0.3g,,Sodium 88.5mg,4,Milk
Seafood Chowder ,204,71,Total Fat 7.9g,21,Tot. Carb. 19.6g,,Sat. Fat 3.6g,18%,Dietary Fiber 1.3g,4,Trans Fat 0g,,Sugars 5.3g,4,Cholesterol 58.8mg,,Protein 13.7g,,Sodium 936.6mg,41,"Milk, Fish, Crustacean Shellfish, Wheat, Gluten"
Bibingka ,406,134,Total Fat 14.9g,39,Tot. Carb. 63.6g,,Sat. Fat 10g,50%,Dietary Fiber 1.2g,4,Trans Fat 0g,,Sugars 39.9g,31,Cholesterol 83.8mg,,Protein 5.3g,,Sodium 544.7mg,24,"Milk, Eggs"
Chicken Potstickers (2) ,81,14,Total Fat 1.6g,4,Tot. Carb. 11.8g,,Sat. Fat 0g,0%,Dietary Fiber 0.3g,1,Trans Fat 0g,,Sugars 0.6g,0,Cholesterol 9.3mg,,Protein 5g,,Sodium 255.1mg,11,"Wheat, Soybeans, Gluten, Sesame"
Sesame Balls ,366,152,Total Fat 16.8g,44,Tot. Carb. 50g,,Sat. Fat 0.1g,1%,Dietary Fiber 5g,17,Trans Fat 0g,,Sugars 35g,27,Cholesterol 0mg,,Protein 10g,,Sodium 25mg,1,Sesame
Vegetable Springrolls (2) ,122,34,Total Fat 3.8g,10,Tot. Carb. 14g,,Sat. Fat 1.4g,7%,Dietary Fiber 0.9g,3,Trans Fat 0g,,Sugars 0.9g,1,Cholesterol 0mg,,Protein 2.8g,,Sodium 233.3mg,10,"Wheat, Soybeans, Gluten"
Hawaiian Flare Tofu Noodles ,408,87,Total Fat 9.7g,25,Tot. Carb. 59.2g,,Sat. Fat 1.6g,8%,Dietary Fiber 5.7g,19,Trans Fat 0g,,Sugars 16.4g,13,Cholesterol 0mg,,Protein 22.8g,,Sodium 1163.4mg,51,"Wheat, Soybeans, Gluten, Sesame"
Orange Chicken Wok ,417,134,Total Fat 14.9g,39,Tot. Carb. 56.9g,,Sat. Fat 1.6g,8%,Dietary Fiber 3.3g,11,Trans Fat 0g,,Sugars 9.3g,7,Cholesterol 37mg,,Protein 13.5g,,Sodium 151.1mg,7,"Eggs, Wheat, Soybeans, Gluten"
Peppered Beef Wok ,371,61,Total Fat 6.8g,18,Tot. Carb. 57.3g,,Sat. Fat 1.4g,7%,Dietary Fiber 1.7g,6,Trans Fat 0g,,Sugars 3g,2,Cholesterol 31.5mg,,Protein 18.3g,,Sodium 492.5mg,21,"Wheat, Soybeans, Gluten, Sesame"
Thai Coconut Chicken Wok ,455,135,Total Fat 14.9g,39,Tot. Carb. 47.5g,,Sat. Fat 4.8g,24%,Dietary Fiber 4.7g,16,Trans Fat 0g,,Sugars 5.1g,4,Cholesterol 137.8mg,,Protein 31.6g,,Sodium 690.5mg,30,"Fish, Soybeans, Sesame"
Dragon Sauce ,29,1,Total Fat 0.1g,0,Tot. Carb. 5.9g,,Sat. Fat 0g,0%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 5.3g,4,Cholesterol 0mg,,Protein 0.9g,,Sodium 413.6mg,18,Soybeans
Pineapple Sauce ,20,0,Total Fat 0g,0,Tot. Carb. 4.5g,,Sat. Fat 0g,0%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 3.2g,2,Cholesterol 0mg,,Protein 0.9g,,Sodium 362.5mg,16,Soybeans
Soy Sriracha Lime Sauce ,44,9,Total Fat 1g,3,Tot. Carb. 8g,,Sat. Fat 0.1g,1%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 7g,5,Cholesterol 0mg,,Protein 0.6g,,Sodium 308.1mg,13,"Soybeans, Sesame"
Sweet Chili Orange Sauce ,44,1,Total Fat 0.1g,0,Tot. Carb. 10.2g,,Sat. Fat 0g,0%,Dietary Fiber 0g,0,Trans Fat 0g,,Sugars 8.9g,7,Cholesterol 0mg,,Protein 0g,,Sodium 0.6mg,0,
Brown Rice ,126,9,Total Fat 1g,3,Tot. Carb. 26g,,Sat. Fat 0.2g,1%,Dietary Fiber 2g,7,Trans Fat 0g,,Sugars 0.4g,0,Cholesterol 0mg,,Protein 2.9g,,Sodium 5.7mg,0,
Indonesian Noodles ,384,39,Total Fat 4.3g,11,Tot. Carb. 74.4g,,Sat. Fat 0.7g,3%,Dietary Fiber 5.7g,19,Trans Fat 0g,,Sugars 21g,16,Cholesterol 0mg,,Protein 17.4g,,Sodium 1317.1mg,57,"Wheat, Soybeans, Gluten, Sesame"
Steamed Jasmine Rice ,147,3,Total Fat 0.3g,1,Tot. Carb. 31.9g,,Sat. Fat 0.1g,0%,Dietary Fiber 0.5g,2,Trans Fat 0g,,Sugars 0.1g,0,Cholesterol 0mg,,Protein 3.1g,,Sodium 1.1mg,0,
Mandarin Chopped Salad ,118,45,Total Fat 4.9g,13,Tot. Carb. 17g,,Sat. Fat 0.7g,4%,Dietary Fiber 2.9g,10,Trans Fat 0g,,Sugars 12.4g,10,Cholesterol 0mg,,Protein 2.5g,,Sodium 170.5mg,7,"Wheat, Soybeans, Gluten, Sesame"
Sauteed Baby Bok Choy ,82,31,Total Fat 3.5g,9,Tot. Carb. 6.8g,,Sat. Fat 0.2g,1%,Dietary Fiber 1.6g,5,Trans Fat 0g,,Sugars 3.3g,3,Cholesterol 0mg,,Protein 3.6g,,Sodium 817.2mg,36,"Soybeans, Sesame"
Thai Coconut Chicken ,215,94,Total Fat 10.5g,28,Tot. Carb. 3.6g,,Sat. Fat 4g,20%,Dietary Fiber 0.2g,1,Trans Fat 0g,,Sugars 2.9g,2,Cholesterol 137.8mg,,Protein 25.4g,,Sodium 484.1mg,21,"Fish, Soybeans"
