food,cal,calFromFat,totFat,totFatDV,totCarb,totCarbDV,satFat,satFatDV,dietaryFiber,dietaryFiberDV,transFat,transFatDV,sugars,sugarsDV,cholesterol,cholesterolDV,protein,proteinDV,sodium,sodiumDV,restrictions,price
Three Cheese Grilled Cheese ,761,415,46,121,40.1,,17.3,87,0.1,0,0,,5,4,85.8,,25.7,,1437,62,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Eggs, ",$6.00
Chicken Tenders ,640,403,44.7,118,32.2,,6.2,31,2,7,2.1,,2,2,55.4,,28.2,,1057.2,46,"Contains Wheat, Contains Gluten, Contains Wheat, ",$6.00
Curly Fries ,292,123,13.6,36,36.5,,2.4,12,4.1,14,0,,2,2,0,,4.1,,595.4,26,"Vegan, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Contains Soy, Contains Wheat, Sustainability, ",$3.00
French Fries ,322,150,16.7,44,36.9,,2.5,13,0,0,0,,1.8,1,0,,3.7,,663.4,29,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$3.00
Serrano Pesto Grilled Vegetables ,101,76,8.4,22,6.3,,0.9,5,2.4,8,0,,2.1,2,1.7,,2.8,,544.3,24,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",$3.00
AGUA FRESCA BERRY PATCH ,171,0,0,0,40.8,,0,0,0,0,0,,40.8,31,0,,0,,541.7,24,"Vegan, Vegan, ",$3.00
AGUA FRESCA LEMONADE ,158,0,0,0,36.8,,0,0,0,0,0,,36.8,28,0,,0,,541.7,24,"Vegan, Vegan, ",$3.00
AGUA FRESCA SWEET TEA ,158,0,0,0,40.8,,0,0,0,0,0,,39.5,30,0,,0,,541.7,24,"Vegan, Vegan, ",$3.00
Bleu Cheese ,101,73,8.1,21,1,,5.1,25,0,0,,,0,0,25.3,,6.1,,384.8,17,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Cheddar Jack Cheese ,56,41,4.6,12,0.5,,3,15,0,0,0,,0,0,12.7,,3.5,,91.1,4,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Cherry Tomato ,6,1,0.1,0,1.2,,0,0,0.4,1,0,,0.8,1,0,,0.3,,1.6,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Cooked Barley ,42,1,0.2,0,9.6,,0,0,1.3,4,0,,0.1,0,0,,0.8,,114.4,5,"Vegan, Wellness, Contains Gluten, Sustainability, Vegan, Wellness, Sustainability, ",
Cooked Red Quinoa ,33,5,0.5,1,6,,0.1,0,0.6,2,0,,0,0,0,,1.1,,43.9,2,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Edamame ,33,11,1.2,3,2.3,,0,0,1.3,4,0,,1,1,0,,3.3,,1.7,0,"Vegan, Wellness, Contains Soy, Sustainability, Vegan, Wellness, Contains Soy, Sustainability, ",
Feta Cheese ,75,54,6,16,1.2,,4.2,21,0,0,,,1.2,1,25.2,,4,,316.4,14,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Garbanzo Beans ,34,3,0.3,1,6.4,,0,0,1.2,4,,,,,0,,1.4,,84.8,4,"Vegan, Sustainability, Vegan, Sustainability, ",
Kale ,14,2,0.3,1,2.5,,0,0,0.6,2,0,,,,0,,1.2,,10.8,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Mandarin Oranges ,11,0,0,0,2.8,,0,0,0.1,0,0,,2.7,2,0,,0.1,,1.1,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Red Onions ,10,0,0,0,2.4,,0,0,0.4,1,0,,1.1,1,0,,0.3,,1,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Roasted Broccoli ,15,7,0.8,2,1.6,,0.1,0,0.9,3,0,,0,0,0,,0.9,,78.6,3,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Roasted Moroccan Cauliflower ,16,4,0.5,1,2.8,,0.1,1,1.5,5,0,,0.7,1,0,,0.8,,5.8,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Romaine Lettuce ,5,0,0,0,1,,0,0,0.3,1,0,,0.7,1,0,,0.3,,1.7,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Shredded Carrots ,12,1,0.1,0,2.7,,0,0,0.8,3,0,,1.3,1,0,,0.3,,19.6,1,"Vegan, Sustainability, Vegan, Sustainability, ",
Sliced Cucumbers ,4,0,0,0,1.1,,0,0,0.1,0,0,,0.5,0,0,,0.2,,0.6,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Sliced Mushrooms ,6,1,0.1,0,0.9,,0,0,0.3,1,0,,0.6,0,0,,0.9,,1.4,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Sliced Red Bell Pepper ,9,1,0.1,0,1.7,,0,0,0.6,2,0,,1.1,1,0,,0.3,,1.1,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Spinach ,7,1,0.1,0,1,,0,0,0.6,2,0,,0.1,0,0,,0.8,,22.4,1,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Spring Mix ,7,0,0,0,1,,0,0,0.3,1,0,,0,0,0,,0,,16.7,1,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Cage Free Hard Boiled Egg ,58,37,4.1,11,1,,1,5,0,0,0,,0,0,184.2,,6.1,,53.2,2,"Vegetarian, Wellness, Contains Eggs, Sustainability, Vegetarian, Wellness, Contains Eggs, Sustainability, ",$1.00
Roasted Chicken ,27,15,1.6,4,0.1,,0.5,2,0,0,0,,0,0,9.1,,2.9,,51.5,2,"Wellness, Wellness, ",$3.00
Roasted Chicken and Rice Soup ,323,129,14.3,38,14,,3.3,17,1.6,5,0,,2.9,2,105.5,,32.8,,1023,44,"Contains Soy, Contains Soy, ",$3.00
Tofu Cubes ,100,48,5.4,14,2.4,,1.1,5,1.7,6,0,,0.5,0,0,,10.5,,5.1,0,"Vegan, Wellness, Contains Soy, Sustainability, Vegan, Wellness, Contains Soy, Sustainability, ",$2.00
Tuna Salad ,138,51,5.7,15,1.7,,0.6,3,0.2,1,0,,1.1,1,33.2,,20.3,,298.1,13,"Wellness, Contains Soy, Contains Fish, Contains Eggs, Sustainability, Wellness, Contains Soy, Contains Fish, Contains Eggs, Sustainability, ",$3.50
Dried Cranberries ,92,0,0,0,23.4,,0,0,0,0,0,,18.4,14,0,,0,,0,0,"Vegetarian, Sustainability, Vegetarian, Sustainability, ",
Homestyle Croutons ,132,47,5.2,14,18,,1.5,7,1.4,5,,,1.3,1,2,,3.1,,351,15,"Vegetarian, Contains Dairy, Contains Wheat, Contains Gluten, Sustainability, Vegetarian, Contains Dairy, Contains Wheat, Sustainability, ",
Pumpkin Seeds- Pepitas ,81,63,7,18,2.1,,1.2,6,0.9,3,0,,0.2,0,0,,4.2,,36.3,2,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Sunflower Seeds ,88,73,8.1,21,2.9,,0.8,4,1.6,5,0,,,,0,,2.4,,0.4,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Balsamic Vinaigrette ,59,36,4,10,5.9,,0,0,0,0,0,,3,2,0,,0,,103.7,5,"Vegetarian, Wellness, Contains Soy, Sustainability, Vegetarian, Wellness, Contains Soy, Sustainability, ",
Blue Cheese Dressing ,135,131,14.5,38,1.3,,2.3,12,0.1,0,0.4,,1,1,8.8,,0.4,,295.1,13,"Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Sustainability, ",
Buttermilk Ranch Dressing ,113,105,11.7,31,0.7,,1.7,9,0,0,0,,0.7,1,11.5,,0.6,,175.6,8,"Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Sustainability, ",
Caesar Dressing ,162,159,17.6,46,0.7,,2.6,13,0,0,0.4,,0.4,0,30.3,,0.7,,183.3,8,"Contains Dairy, Contains Soy, Contains Fish, Contains Eggs, Sustainability, Contains Dairy, Contains Soy, Contains Fish, Contains Eggs, Sustainability, ",
La Scala Vinaigrette ,102,92,10.2,27,91.4,,1.5,8,0,0,0,,0,0,0,,0,,193,8,"Vegetarian, Contains Soy, Sustainability, Vegetarian, Contains Soy, Sustainability, ",
Lemon Shallot Vinaigrette ,112,110,12.2,32,1.5,,0.9,4,0.2,1,0,,0.4,0,0,,0.1,,223.7,10,"Vegan, Sustainability, Vegan, Sustainability, ",
Vegan Green Goddess Dressing ,110,110,12.2,32,1.2,,0.9,5,0.5,2,0,,0.3,0,0,,0.3,,16.3,1,"Vegan, Sustainability, Vegan, Sustainability, ",
64D Rotisserie Chicken Deboned ,190,101,11.2,30,0.9,,3.1,16,0.3,1,0,,0.1,0,63.2,,20.1,,356.4,15,"Wellness, Wellness, ",$8.00
Blackened Shrimp ,104,14,1.6,4,3,,0,0,0.9,3,0,,0.2,0,153.8,,19.6,,1178,51,"Contains Shellfish, Sustainability, Contains Shellfish, Sustainability, ",$9.00
Mahi w/ Tomato Cucumber Relish ,107,70,7.8,20,1.1,,0.6,3,0.2,1,0,,0.3,0,33.1,,8.6,,173.6,8,"Contains Fish, Sustainability, Contains Fish, Sustainability, ",$10.00
Seared Ahi Tuna ,106,20,2.2,6,0.1,,0.3,1,0.1,0,0,,0,0,38.3,,20.1,,32.9,1,"Wellness, Contains Fish, Contains Sesame, Sustainability, Wellness, Contains Fish, Contains Gluten, Sustainability, ",$10.00
Seared Herbed Tofu ,191,123,13.6,36,3.2,,2.4,12,2.3,8,0,,0.7,1,0,,14.1,,11.5,0,"Vegan, Wellness, Contains Soy, Sustainability, Vegan, Wellness, Contains Soy, Sustainability, ",$8.00
"Poblano Cream Orecchiette
 ",804,260,28.8,76,114.3,,10.6,53,6,20,0,,7,5,61,,22.2,,450.9,20,"Contains Dairy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Wheat, ",
RC Bowl Base ,290,24,2.6,7,56.1,,0.1,0,2.6,9,0,,2.5,2,0,,10.5,,771,34,"Contains Wheat, Contains Gluten, Sustainability, Contains Wheat, Sustainability, ",
RC Sandwich Base ,416,233,25.9,68,42.3,,1.9,10,3.8,13,0,,5.2,4,0,,10.1,,445.7,19,"Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Contains Soy, Contains Wheat, Sustainability, ",
RC Taco Trio Base ,985,478,53,139,93.3,,10,50,2.1,7,0,,6,5,194.1,,38.6,,2396.8,104,"Contains Dairy, Contains Soy, Sustainability, Contains Dairy, Contains Soy, Sustainability, ",
Avocado ,47,39,4.4,11,2.4,,0.6,3,1.9,6,0,,0.1,0,0,,0.6,,2.3,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",$1.25
Citrus Shallot Cream Sauce ,35,24,2.7,7,2.1,,1.8,9,0.2,1,0,,0.9,1,8.9,,0.2,,58.2,3,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Honey Chipotle glaze ,62,2,0.3,1,15,,0,0,0.2,1,0,,12.9,10,0.1,,0.2,,216.9,9,"Vegetarian, Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Sustainability, Vegetarian, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, ",
Roasted Red Pepper Sauce ,34,21,2.4,6,2.3,,1.4,7,0.8,3,0,,0.8,1,8,,0.3,,88.5,4,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Seafood Chowder ,204,71,7.9,21,19.6,,3.6,18,1.3,4,0,,5.3,4,58.8,,13.7,,936.6,41,"Contains Dairy, Contains Wheat, Contains Fish, Contains Shellfish, Contains Gluten, Sustainability, Contains Dairy, Contains Wheat, Contains Fish, Contains Shellfish, Sustainability, ",$4.00
Chicken Potstickers (2) ,81,14,1.6,4,11.8,,0,0,0.3,1,0,,0.6,0,9.3,,5,,255.1,11,"Contains Soy, Contains Wheat, Contains Gluten, Contains Sesame, Contains Soy, Contains Wheat, Contains Gluten, ",$2.00
Coconut Caramel Carioca ,192,109,12.1,32,20.7,,10.5,52,1.8,6,0,,8,6,0,,1.9,,80,3,"Vegan, Sustainability, Vegan, Sustainability, ",$4.00
Thai Mango Sticky Rice ,325,89,9.9,26,54.2,,8,40,1.8,6,0,,28.2,22,7.4,,5.7,,39.8,2,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",$4.00
Vegetable Springrolls (2) ,122,34,3.8,10,14,,1.4,7,0.9,3,0,,0.9,1,0,,2.8,,233.3,10,"Vegan, Wellness, Contains Soy, Contains Wheat, Contains Gluten, Sustainability, Vegan, Wellness, Contains Soy, Contains Wheat, Sustainability, ",$2.00
Honey Glazed Chicken Wok ,657,214,23.7,62,81.6,,5.2,26,1.1,4,0,,23.6,18,97.4,,27.8,,455.2,20,"Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, Contains Sesame, Contains Soy, Contains Wheat, Contains Eggs, Contains Gluten, ",$8.00
Kung Pao Chicken Wok ,508,189,20.9,55,57.3,,3.9,19,1.7,6,0,,2.5,2,68.4,,21,,761.2,33,"Contains TreeNuts, Contains Soy, Contains Sesame, Contains TreeNuts, Contains Soy, Contains Gluten, ",$8.00
Kung Pao Tofu Wok ,473,178,19.8,52,58,,3.4,17,2.8,9,0,,2.6,2,0,,14.9,,260.9,11,"Vegan, Contains TreeNuts, Contains Soy, Contains Sesame, Sustainability, Vegan, Contains TreeNuts, Contains Soy, Contains Gluten, Sustainability, ",$8.00
Thai Coconut Chicken Wok ,455,135,14.9,39,47.5,,4.8,24,4.7,16,0,,5.1,4,137.8,,31.6,,690.5,30,"Contains Soy, Contains Fish, Contains Sesame, Contains Soy, Contains Fish, Contains Gluten, ",$8.00
Dragon Sauce ,27,1,0.1,0,6,,0,0,0.1,0,0,,5.9,5,0,,0.1,,360.1,16,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",
Honey Glazed Chicken Sauce ,74,0,0,0,19.5,,0,0,0,0,0,,19.1,15,0,,0.3,,123,5,"Sustainability, Sustainability, ",
Kung Pao Sauce ,62,41,4.6,12,4,,0.6,3,0.1,0,0,,2.5,2,0,,0.6,,249.4,11,"Vegan, Contains Soy, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Gluten, Sustainability, ",
Brown Rice ,126,9,1,3,26,,0.2,1,2,7,0,,0.4,0,0,,2.9,,5.7,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Fried Rice ,143,30,3.3,9,23.2,,0.7,4,1.1,4,0.1,,1.5,1,45.7,,5,,604.3,26,"Vegetarian, Contains Soy, Contains Eggs, Contains Sesame, Sustainability, Vegetarian, Contains Soy, Contains Eggs, Contains Gluten, Sustainability, ",$2.50
Steamed Jasmine Rice ,147,3,0.3,1,31.9,,0.1,0,0.5,2,0,,0.1,0,0,,3.1,,1.1,0,"Vegan, Wellness, Sustainability, Vegan, Wellness, Sustainability, ",
Chinese Long Bean ,215,20,2.2,6,39.9,,0.4,2,5.3,18,0,,8.9,7,0,,10.8,,963.6,42,"Vegan, Contains Soy, Contains Sesame, Sustainability, Vegan, Contains Soy, Contains Gluten, Sustainability, ",$2.50
Thai Coconut Chicken ,214,94,10.5,28,3.7,,4,20,0.2,1,0,,3.2,2,137.8,,24.8,,444.9,19,"Contains Soy, Contains Fish, Contains Soy, Contains Fish, ",$3.50
Acapulco Shrimp Bowl ,388,154,17.1,45,31.5,,7.9,40,2.4,8,0,,4.5,3,148.5,,26.9,,2086.9,91,"Contains Dairy, Contains Soy, Contains Shellfish, Sustainability, Contains Dairy, Contains Soy, Contains Shellfish, Sustainability, ",$9.00
Acapulco Shrimp Burrito ,562,154,17.1,45,75.3,,5.4,27,4.1,14,0,,4.2,3,122.9,,28.9,,2162.8,94,"Contains Dairy, Contains Soy, Contains Wheat, Contains Shellfish, Contains Gluten, Sustainability, Contains Dairy, Contains Soy, Contains Wheat, Contains Shellfish, Sustainability, ",$9.00
Acapulco Shrimp Taco ,312,47,5.2,14,58.2,,0.2,1,1.4,5,0,,1.3,1,32.5,,10.7,,166.3,7,"Wellness, Contains Shellfish, Wellness, Contains Shellfish, ",$3.00
Carnitas Bowl ,428,161,17.8,47,28.6,,8.9,44,1.8,6,0,,3.4,3,111.6,,36.4,,1702,74,"Contains Dairy, Contains Soy, Contains Dairy, Contains Soy, ",$8.50
Carnitas Burrito ,622,171,18.9,50,73.2,,6.5,32,3.9,13,0,,3.5,3,94.8,,39.8,,1982.9,86,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$8.50
Carnitas Nacho ,787,344,38.2,100,71.3,,10.8,54,11.6,39,0.1,,4.2,3,109.2,,41.5,,1376.5,60,"Contains Dairy, Contains Soy, Contains Eggs, Contains Dairy, Contains Soy, Contains Eggs, ",$8.50
Carnitas Taco ,330,52,5.8,15,57.3,,0.6,3,1.2,4,0,,1,1,23.1,,14.2,,102.4,4,,$3.00
Chicken Tinga Bowl ,431,197,21.8,57,35.2,,8.9,45,3.9,13,0,,6.8,5,61.1,,23.3,,2041.1,89,"Contains Dairy, Contains Soy, Contains Dairy, Contains Soy, ",$8.50
Chicken Tinga Burrito ,625,207,23,60,79.9,,6.5,33,6,20,0,,6.9,5,44.3,,26.7,,2322,101,"Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Contains Dairy, Contains Soy, Contains Wheat, ",$8.50
Chicken Tinga Nacho ,790,381,42.2,111,77.9,,10.8,54,13.7,46,0,,7.6,6,58.7,,28.3,,1715.6,75,"Contains Dairy, Contains Soy, Contains Eggs, Contains Dairy, Contains Soy, Contains Eggs, ",$8.50
Chicken Tinga Taco ,331,65,7.2,19,59.5,,0.6,3,1.9,6,0,,2.1,2,6.3,,9.8,,215.5,9,"Wellness, Contains Soy, Wellness, Contains Soy, ",$3.00
Shrimp Acapulco Nacho ,732,328,36.4,96,73.9,,9.7,49,12.1,40,0,,5.2,4,137.3,,30.8,,1568.1,68,"Contains Dairy, Contains Soy, Contains Shellfish, Contains Eggs, Sustainability, Contains Dairy, Contains Soy, Contains Shellfish, Contains Eggs, Sustainability, ",$9.00
Soyrizo Potato Bowl ,464,232,25.7,68,41.8,,8.5,43,4.6,15,0,,5.3,4,42.1,,18.1,,1984.9,86,"Vegetarian, Contains Dairy, Contains Soy, Sustainability, Vegetarian, Contains Dairy, Contains Soy, Sustainability, ",$7.50
Soyrizo Potato Burrito ,617,236,26.1,69,80.2,,6.1,30,6.2,21,0,,4.6,4,25.3,,19.4,,1980.3,86,"Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, Contains Gluten, Vegetarian, Contains Dairy, Contains Soy, Contains Wheat, ",$7.50
Soyrizo Potato Nacho ,782,387,42.9,113,84,,8.4,42,14.4,48,0,,6.1,5,28.3,,20,,1463.5,64,"Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, ",$7.50
Soyrizo Potato Taco ,371,93,10.4,27,64,,0.6,3,2.6,9,0,,1.9,1,0,,8.9,,282.9,12,"Vegan, Contains Soy, Vegan, Contains Soy, ",$2.50
Cilantro and Onion ,12,1,0.1,0,2.6,,0,0,0.6,2,0,,1.1,1,0,,0.4,,3.9,0,"Vegan, Sustainability, Vegan, Sustainability, ",
Cotija Cheese ,91,64,7.1,19,1,,4.6,23,0,0,0,,0,0,25.3,,7.1,,435.4,19,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",
Guacamole ,36,28,3.1,8,2.3,,0.4,2,1.4,5,0,,0.6,0,0,,0.5,,24.8,1,"Vegan, Sustainability, Vegan, Sustainability, ",
Lime  Cream ,129,118,13.1,35,1,,3.3,17,0,0,0,,0.6,0,15.5,,0.6,,135.8,6,"Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, Vegetarian, Contains Dairy, Contains Soy, Contains Eggs, ",
Salsa Roja Quemada ,13,3,0.3,1,1.2,,0,0,0.3,1,0,,0.6,0,0,,0.2,,121,5,"Sustainability, Sustainability, ",
Salsa Verde Cruda ,11,3,0.3,1,1.8,,0,0,0.6,2,0,,1.1,1,0,,0.3,,57.8,3,"Sustainability, Sustainability, ",
Arroz con Leche ,196,31,3.4,9,35.8,,2.1,11,1.5,5,0,,19.3,15,11.7,,5,,50.2,2,"Vegetarian, Contains Dairy, Sustainability, Vegetarian, Contains Dairy, Sustainability, ",$3.00
Flan ,315,163,18.1,48,30.6,,11.8,59,0,0,0,,28.2,22,132.2,,5.9,,89.9,4,"Vegetarian, Contains Dairy, Contains Eggs, Sustainability, Vegetarian, Contains Dairy, Contains Eggs, Sustainability, ",$3.00
Acapulco Style Shrimp Cocktail ,153,20,2.2,6,19.9,,0.1,0,1.3,4,0,,9,7,99.2,,14.2,,1773,77,"Contains Soy, Contains Shellfish, Sustainability, Contains Soy, Contains Shellfish, Sustainability, ",$6.00
Arroz Del Sol ,125,22,2.4,6,22.6,,0.2,1,1.5,5,0,,1.6,1,0,,3,,619.5,27,"Vegan, Contains Soy, Sustainability, Vegan, Contains Soy, Sustainability, ",$1.50
Fiesta Fruit Cup ,92,3,0.3,1,23.3,,0,0,4.5,15,0,,14.7,11,0,,1.4,,743.7,32,"Vegan, Sustainability, Vegan, Sustainability, ",$4.50
Refried Beans ,284,13,1.4,4,51.6,,0.2,1,0.5,2,0,,2.1,2,0,,17.2,,36.4,2,"Vegan, Wellness, Vegan, Wellness, ",$1.50
